SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
DICER1,A4GALT,0.08929713820455633,0.00583150788126615
DICER1,AADAC,0.1589393417584928,8.268796693004454e-07
DICER1,AADACL2,0.08822743157815696,0.006450627904005522
DICER1,AADACL4,0.09715137988711033,0.0026934260492877103
DICER1,AADAT,0.11483690919430328,0.0003847466155274258
DICER1,AAK1,-0.1535220944434298,1.946876442338602e-06
DICER1,AAMP,0.10545783479230195,0.001119381341640032
DICER1,AAR2,0.1097985080695949,0.0006898238866575498
DICER1,AARS2,0.19757339191202372,7.810777409875862e-10
DICER1,AASDHPPT,0.17235021498519873,8.752636258389437e-08
DICER1,AATF,-0.08486572650635094,0.008798741216769792
DICER1,ABCB10,0.08361963404554425,0.009846501315266204
DICER1,ABCB8,0.10621682542446374,0.0010298223150381478
DICER1,ABCC5,0.09117313346870864,0.004873618314808227
DICER1,ABCC9,-0.08475155647529299,0.008890420922386077
DICER1,ABCG2,0.1105644941893283,0.0006321944666844761
DICER1,ABHD17C,0.10654490764034182,0.0009931986840528092
DICER1,ACAD8,0.13560512547969505,2.6935890081651316e-05
DICER1,ACAT1,0.13379201829722615,3.4535220228022905e-05
DICER1,ACCS,0.10637013294595858,0.0010125560895152578
DICER1,ACE2,0.09698617449862112,0.002739121914902242
DICER1,ACKR1,-0.09103920155156506,0.004936972163018927
DICER1,ACLY,0.12182579035542167,0.00016457526708937685
DICER1,ACOXL,-0.1264455596201936,9.15348818618594e-05
DICER1,ACP1,0.13880831780568156,1.7230200301559396e-05
DICER1,ACR,0.11546050013472138,0.0003573356577107973
DICER1,ACRV1,0.13954527922471976,1.552523560329768e-05
DICER1,ACSL1,0.09747610543378593,0.002605628101719934
DICER1,ACSL3,0.08516141819345523,0.008565206416534703
DICER1,ACSL4,0.154411320975735,1.694950711730305e-06
DICER1,ACSS2,0.0858953972464748,0.00800925591122054
DICER1,ACTL6A,0.10547694951706328,0.0011170402562094598
DICER1,ACTL6B,-0.10578244705757302,0.001080232446351556
DICER1,ACTN1,0.09559313178725742,0.0031534858608769315
DICER1,ACTR10,0.18397919387487965,1.0778222471012955e-08
